representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00010890.1	 	RFXAP	39099	1	1	3249922.301	3170600.26	4379773.707	4513457.754	4145013.882	3682696.316	3808290.396	4402795.504	4945931.741	3525877.848
IPI00005728.2	 	RER1	39099	5	12	107043974.983	114032962.612	105584878.045	132185537.689	126920595.605	93106775.42	91595803.721	103172052.707	122269837.667	82260339.453
IPI00156689.3	 	VAT1	39099	20	48	375049722.451	390220607.838	375866374.547	478777962.989	463993767.26	341616903.073	317311249.341	355995292.476	395713074.445	306765095.246
IPI00856080.1	 	GPN3	39099	2	2	19812387.156	22406350.949	26543922.803	33076486.76	23636146.244	23227931.735	17738078.412	19596450.043	24965467.606	19612145.968
IPI00009885.1	IPI00791084.1	FKBP11	39099	2	4	48081660.948	58696773.81	61247656.662	58983715.102	59368873.806	41129670.445	43426136.981	51557695.245	42895746.242	42864443.977
IPI00000690.1	 	AIFM1	39099	15	50	466001904.476	496326010.183	483905281.958	620199828.869	591090260.064	373487939.699	341952292.363	384420020.136	423734330.486	357502923.943
IPI00295209.5	 	SNX5	39099	1	1	2780526.111	2527438.516	2494379.96	2949810.898	4597887.591	1499798.856	1495643.289	2073004.025	1811458.079	2067858.125
IPI00218019.1	 	BSG	39099	7	31	345394682.789	374421397.772	370110018.063	462913339.74	429033467.329	347428989.694	349218128.18	414739315.679	416879646.294	358706023.892
IPI00034159.1	 	ATP6V0D1	39099	6	11	178216602.339	177584858.878	158458350.564	153214497.843	235875293.774	143827480.08	143691447.935	204980201.758	101348125.3	188991102.296
IPI00384342.3	 	UIMC1	39099	5	5	35432813.556	40410272.508	41873323.891	44833918.993	36964668.708	31165486.733	30464878.688	36009606.316	34493128.229	27913272.796
IPI00013954.6	 	TXNRD3	39099	4	4	36691099.421	36926857.504	36528152.487	38200343.556	41346031.812	28726009.438	25809283.48	31300149.544	22671277.522	27767504.801
IPI00003807.7	 	ACP2	39099	8	10	134458548.392	140557772.344	125858425.621	172029660.506	151300875.362	105181815.641	108891303.418	122399834.99	128864916.417	96852349.185
IPI00018924.3	 	HMG20A	39099	3	3	18089355.64	20337513.343	20859240.027	24125571.392	24152715.37	15345866.866	17205884.604	20804132.842	16992863.49	16736511.916
IPI00016458.2	 	L2HGDH	39099	1	1	9228788.539	7293014.501	7033550.577	12028529.23	10429550.971	1601821.758	1340671.23	2285489.206	3168221.46	1203737.502
IPI00008494.4	 	ICAM1	39099	13	25	339102299.537	344140846.007	346512742.961	405996586.88	383716670.865	323833166.731	329957435.461	371628516.049	353697837.608	299742295.327
IPI00011088.1	 	CLDN12	39099	1	1	1395097.724	1178818.147	2040348.467	2280135.218	1408360.216	1565468.922	1295781.452	1666484.61	2202803.875	1301269.972
IPI00029264.3	 	CYC1	39099	8	25	268895311.201	269469648.635	240226094.483	373764900.543	320870495.54	149226180.775	142097765.687	159212577.442	183043545.128	125012865.567
IPI00783380.1	 	TMEM87B	39099	6	7	78779991.094	85362651.829	76313065.032	95639633.908	96955546.465	51020007.697	53578978.736	70197298.667	56948826.207	52795055.632
IPI00747637.1	 	HRC	39099	3	3	6501042.297	6775237.618	6571845.247	8380298.572	6986496.857	6529422.796	6104262.409	5728199.91	7593972.545	4858237.102
IPI00029631.1	 	ERH	39099	3	8	94939013.884	112358949.421	115721955.239	119366543.162	138711688.96	83136586.278	98336516.319	114935078.284	96866094.325	98758714.796
IPI00395808.2	 	SLC17A5	39099	4	5	69593304.14	75022418.919	75179040.681	97227842.864	85032016.376	73496754.97	77246445.565	87289483.233	87012557.121	66475223.374
IPI00384047.1	 	TRAPPC6B	39099	4	4	80034078.769	81913584.281	74304245.121	92755475.19	91328222.446	25253303.46	30164333.857	27202387.027	26997665.136	24019737.74
IPI00008552.6	 	GLRX3	39099	4	4	43150065.895	43962187.027	51915804.818	44933692.73	79161077.258	24979365.736	23305402.601	35497695.703	23576946.23	40729787.182
IPI00027235.1	 	ATRN	39099	9	11	101684473.247	111259105.74	137778264.663	148280345.049	149294452.244	114732315.668	110902101.443	143203031.372	108662895.736	116318636.036
IPI00025869.1	 	GLA	39099	1	2	16389885.89	18714573.356	22280620.206	21894872.566	20592490.671	10399728.28	9683017.575	10041962.804	12163391.021	10275568.305
IPI00010338.1	 	F3	39099	2	2	18295149.485	20296827.549	24189088.658	25203699.526	23707205.949	19535618.892	16351712.443	22196055.902	20065865.435	16526575.033
